name,path,description,external_url,background_color,Background,Backhair,Body,Face,Fronthair
Love Addicted Girl #0,https://love-addicted-girls.s3.amazonaws.com/images/0000.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,blue,hime2,loli1,gal3,hime2
Love Addicted Girl #1,https://love-addicted-girls.s3.amazonaws.com/images/0001.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,orange,hime2,maid2,kira3,hime2
Love Addicted Girl #2,https://love-addicted-girls.s3.amazonaws.com/images/0002.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,blue,odango,sweet2,gal3,odango
Love Addicted Girl #3,https://love-addicted-girls.s3.amazonaws.com/images/0003.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,water,zero,loli1,ero2,zero
Love Addicted Girl #4,https://love-addicted-girls.s3.amazonaws.com/images/0004.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,orange,zero,loli1,cocktail1,zero
Love Addicted Girl #5,https://love-addicted-girls.s3.amazonaws.com/images/0005.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,blue,odango,swim1,basic1,odango
Love Addicted Girl #6,https://love-addicted-girls.s3.amazonaws.com/images/0006.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,blue,hime2,casino1,cocktail3,hime2
Love Addicted Girl #7,https://love-addicted-girls.s3.amazonaws.com/images/0007.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,water,hime2,maid2,gal3,hime2
Love Addicted Girl #8,https://love-addicted-girls.s3.amazonaws.com/images/0008.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,blue,zero,loli1,cocktail1,zero
Love Addicted Girl #9,https://love-addicted-girls.s3.amazonaws.com/images/0009.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,rare_moon,cocktail,wafuku2,cocktail3,cocktail
Love Addicted Girl #10,https://love-addicted-girls.s3.amazonaws.com/images/0010.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,green,gal,sweet2,kira2,gal
Love Addicted Girl #11,https://love-addicted-girls.s3.amazonaws.com/images/0011.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,water,odango,sakyubasu1,basic1,odango
Love Addicted Girl #12,https://love-addicted-girls.s3.amazonaws.com/images/0012.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,orange,gal,casino2,gal2,gal
Love Addicted Girl #13,https://love-addicted-girls.s3.amazonaws.com/images/0013.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,rare_lantern,odango,swim1,cocktail1,odango
Love Addicted Girl #14,https://love-addicted-girls.s3.amazonaws.com/images/0014.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,water,odango,loli2,gal3,odango
Love Addicted Girl #15,https://love-addicted-girls.s3.amazonaws.com/images/0015.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,blue,twintail,maid1,ero2,twintail
Love Addicted Girl #16,https://love-addicted-girls.s3.amazonaws.com/images/0016.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,orange,hime2,sweet2,basic1,hime2
Love Addicted Girl #17,https://love-addicted-girls.s3.amazonaws.com/images/0017.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,water,zero,sweet2,cocktail1,zero
Love Addicted Girl #18,https://love-addicted-girls.s3.amazonaws.com/images/0018.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,red,gal,shifuku2,cocktail3,gal
Love Addicted Girl #19,https://love-addicted-girls.s3.amazonaws.com/images/0019.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,blue,hime2,sweet2,gal2,hime2
Love Addicted Girl #20,https://love-addicted-girls.s3.amazonaws.com/images/0020.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,rare_kurotuki,hime,casino2,cocktail3,hime
Love Addicted Girl #21,https://love-addicted-girls.s3.amazonaws.com/images/0021.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,orange,twintail,caba2,ero1,twintail
Love Addicted Girl #22,https://love-addicted-girls.s3.amazonaws.com/images/0022.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,red,hime,shifuku2,cocktail3,hime
Love Addicted Girl #23,https://love-addicted-girls.s3.amazonaws.com/images/0023.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,water,odango,maid2,ero2,odango
Love Addicted Girl #24,https://love-addicted-girls.s3.amazonaws.com/images/0024.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,water,cocktail,sakyubasu1,cocktail1,cocktail
Love Addicted Girl #25,https://love-addicted-girls.s3.amazonaws.com/images/0025.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,red,cocktail,shifuku3,gal3,cocktail
Love Addicted Girl #26,https://love-addicted-girls.s3.amazonaws.com/images/0026.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,orange,cocktail,shifuku,cocktail2,cocktail
Love Addicted Girl #27,https://love-addicted-girls.s3.amazonaws.com/images/0027.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,green,gal,sweet2,basic1,gal
Love Addicted Girl #28,https://love-addicted-girls.s3.amazonaws.com/images/0028.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,blue,hime,cab1,kira2,hime
Love Addicted Girl #29,https://love-addicted-girls.s3.amazonaws.com/images/0029.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,green,twintail,sweet2,basic1,twintail
Love Addicted Girl #30,https://love-addicted-girls.s3.amazonaws.com/images/0030.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,orange,twintail,casino1,cocktail3,twintail
Love Addicted Girl #31,https://love-addicted-girls.s3.amazonaws.com/images/0031.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,water,zero,caba2,kira1,zero
Love Addicted Girl #32,https://love-addicted-girls.s3.amazonaws.com/images/0032.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,red,cocktail,shifuku2,kira2,cocktail
Love Addicted Girl #33,https://love-addicted-girls.s3.amazonaws.com/images/0033.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,water,zero,maid1,cocktail2,zero
Love Addicted Girl #34,https://love-addicted-girls.s3.amazonaws.com/images/0034.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,water,zero,cab1,cocktail1,zero
Love Addicted Girl #35,https://love-addicted-girls.s3.amazonaws.com/images/0035.png,2000 Generative NFT collection,https://soudan-nft.xyz/,FFFFFF,red,hime2,casino2,cocktail2,hime2
